Year,Title,Speakers,Description,Products,Solutions,Industries,Other_Topics,Session_Focus,Type,Skill_Level,Track,Role,RecordingLink,SlideLink
2013,Security Operations at FirstData,"Nancy Thompson, Director, Infrastructure & Threat Protection, FirstData","Creating a top-notch, mature Security Operations model is fraught with peril; Oganizational transformation doesn't happen overnight. People, process, and technology play a role in growing a Security model, from Security Monitoring, to Hunting and Counter Intelligence. Using a platform like Splunk, can transform business process into a collaborative platform-driven, data-centric Security platform. First Data, has aligned their Security Operations Monitoring, Incident Response and Tools&Tactics team on a unified platform, built integrations to support analyst and responder workflow alike, and driven efficiency into a siloed, complex environment, helping them establish playbooks of best practices across their inter-departmental teams with a unified goal of securing the business.",Splunk Enterprise,Security / Compliance / Fraud,,,,Breakout Session,Intermediate,"Security, Compliance and Fraud",,conf.splunk.com/session/2013/SY69401_Security_FirstData_NancyThompson_SecurityOperationsatFirstData.m4v,conf.splunk.com/session/2013/Security_FirstData_NancyThompson_SecurityOperationsatFirstData.pdf
2013,Understanding Splunk Acceleration Technologies ,"David Marquardt, Software Engineer, Splunk",In this session we will discuss the acceleration technologies that are availble with Splunk Enterprise and how you can increase the amount of data you process while reducing the amount of time needed.,Splunk App for VMware,All,,,,Breakout Session,Good for all skill levels,What's New,,conf.splunk.com/session/2013/WN69801_WhatsNew_Splunk_DavidMarquardt_UnderstandingSplunkAccelerationTechnologies.m4v,conf.splunk.com/session/2013/WN69801_WhatsNew_Splunk_DavidMarquardt_UnderstandingSplunkAccelerationTechnologies.pdf
2013,Big Data Analytics for Mobile Apps ,"Isaac Mosquera, Director of Mobile, ShareThis","Acquired by ShareThis in March 2013, Socialize provides developers with a platform to build apps for mobile devices. In response to staff queries, Socialize started to send data from sources like databases, app servers and mobile SDKs into Splunk software for indexing, building charts and graphics, building on the Splunk REST API and Splunk DB Connect. Socialize exposes Splunk data to its customers through highly customized dashboards. ",Splunk Enterprise,Operational Intelligence,Healthcare,,,Breakout Session,Intermediate,Big Data,,conf.splunk.com/session/2013/BD62101_BigData_ShareThis_IsaacMosquera_BigDataAnalyticsforMobileApps.m4v,conf.splunk.com/session/2013/BigData_ShareThis_IsaacMosquera_BigDataAnalyticsforMobileApps.pdf
2013,Cyber Risk and Threat Indicators,"Shane Shook, PhD, Chief Knowledge Officer and Global Vice President of Consulting, Cylance Inc.","The security community has gained a significant amount of sensational attention around Cyber _Threats of APT and botnets identified by _Indicators of Compromise. By focusing on notorious internet addresses and malware though, the real threats are being ignored _ targeted (and coincidental) data loss, sabotage and subversion, access control and methods deviations, malicious software settings and use history, and configuration discrepancies _ that are more directly attributable to Cyber Threat activities. Shane Shook, Cylance's consulting services leader, will join us to discuss how Cyber Risk Indicators can be leveraged as intelligence in order to gain understanding of Cyber Threat activities that can assist an organization in quickly diagnosing and assessing anomalous behaviors in their managed estate. He will also discuss ways the information can be used to define dynamic rules to prevent the escalation of compromise and persistent threat activities _ and thereby to interrupt the kill chain. Learn how Splunk's monitoring and auditing of discreet information from endpoints, and associated use of technology such as Cylance Products, will help an organization identify useful Cyber Risk (artifacts) and Threat (behavior) Indicators, and further help responders differentiate and distinguish them for communication with clients.",Splunk Enterprise,,,,,Breakout Session,Beginner,"Security, Compliance and Fraud",,conf.splunk.com/session/2013/SY75301_Security_Cylance_ShaneShook_CyberRiskAndThreatIndicators.m4v,conf.splunk.com/session/2013/Security_Cylance_ShaneShook_CyberRiskAndThreatIndicators.pdf
2013,How and When to Use Dynamic Lookups,"Nimish Doshi, Principal Systems Engineer, Splunk","Lookups are the way to supplement your data at search time with fields that were not present in the index.This session will first cover the elementary CSV file way for static lookups to enrich your data to level set the audience. The session will then move to cover how dynamic lookups are created and used to enrich your data at search time with more fields. We'll cover three examples: accessing a relational database, using an in-memory database, and accessing a remote web site to enrich your data via dynamic lookups. All dynamic lookup examples will be made available to attendees for download. The session will also discuss best practices when performing dynamic lookups.",Splunk Enterprise,All,,,,Breakout Session,Intermediate,Developer,,conf.splunk.com/session/2013/DG65501_Developing_Splunk_NimishDoshi_HowAndWhenToUseDynamicLookups.m4v,conf.splunk.com/session/2013/Developing_Splunk_NimishDoshi_HowAndWhenToUseDynamicLookups.pdf
2013,Splunk at Ping Identity,"Beau Christensen, Manager, Saas Operations and Reliability, Ping Identity","Beau Christensen is the Manager, SaaS Operations & Reliability and Ping Identity, Beau is the ""Ops"" in DevOps. Please join this session with Beau to learn how Ping Identity uses Splunk Enterprise together with Boundary IT Operations management to maintain production infrastructure across multiple cloud providers and provide a fast and secure service to Ping Identity customers.",Splunk Enterprise,IT Operations,"Telecommunications, Entertainment",,,Breakout Session,Good for all skill levels,IT Operations,,conf.splunk.com/session/2013/IO70201_ITOpsAppMgmt_Ping_BeauChristensen_SplunkAtPingIdentity.m4v,conf.splunk.com/session/2013/ITOpsAppMgmt_Ping_BeauChristensen_SplunkAtPingIdentity.pdf
2013,Best Practices and Lessons Learned from Splunk's Professional Services Team,"Sean Blake, Professional Services, Splunk",This session will act as a summarization and guide to how Splunk's Professional Services experts approach services engagements and deploy Splunk. We will highlight some of our best practices with a focus on what to do and not to do. ,Splunk Enterprise Security,Professional Services,Technology,,,Breakout Session,Beginner,Deploying Splunk,,conf.splunk.com/session/2013/DS68301_Deploying_Splunk_SeanBlake_BestPracticesAndLessonsLearnedFromSplunksProfessionalServicesTeam.m4v,conf.splunk.com/session/2013/Deploying_Splunk_SeanBlake_BestPracticesAndLessonsLearnedFromSplunksProfessionalServicesTeam.pdf
2013,Splunk for Networking and Software-Defined Networking,"Stela Udovicic, Product Marketing Manager, Splunk",Software defined networking is an emerging revolutionary technology in datacenters. It creates opportunities for optimization of network traffic and bandwidth to cater to your most critical applications. Learn how Splunk can help you manage your software-defined networks - with help from key vendors in the space.,Splunk Enterprise,Software Defined Networking,SaaS,,,Breakout Session,Beginner,IT Operations,,conf.splunk.com/session/2013/IO70701_ITOpsAppMgmt_Splunk_StelaUdovicic_SplunkForNetworkingAndSoftwareDefinedNetworking.m4v,conf.splunk.com/session/2013/ITOpsAppMgmt_Splunk_StelaUdovicic_SplunkForNetworkingAndSoftwareDefinedNetworking.pdf
2013,How to Write Modular Inputs,"Igor Stojanovski, Principal Engineer, Splunk",The Modular Inputs feature allows you to add new types of data inputs to Splunk. Imagine being able to manage a Twitter or an Amazon S3 input within the data inputs UI page or via an endpoint in a similar way you manage file monitoring or TCP inputs. This is a hands-on developer session that shows you how to write a modular input.,Splunk Enterprise,All,Financial Services,,,Breakout Session,Intermediate,Developer,,conf.splunk.com/session/2013/DG65801_Developing_Splunk_IgorStojanovski_HowToWriteModularInputs.m4v,conf.splunk.com/session/2013/Developing_Splunk_IgorStojanovski_HowToWriteModularInputs.pdf
2013,"Best Practices: Deploying Splunk on Physical, Virtual and Cloud Infrastructure","Simeon Yep, Sales Engineering Manager, Splunk; Sean Blake, Professional Services Manager - Public Sector, Splunk","Assess your IT search requirements, design a Splunk topology, perform capacity planning and decide on indexing, security, and data management strategies that best fit your environment and deployment goals. Splunk's Professional Services team has seen it all in the field and they're bringing that knowledge to the conference to help make your Splunk deployment be all that it can be.",Splunk Enterprise,All,"Manufacturing, Defense, Construction",,,Breakout Session,Intermediate,Deploying Splunk,,conf.splunk.com/session/2013/DS61501_Deploying_Splunk_YepBlake_BestPracticesDeployingSplunkonPhysicalVirtualandCloudInfrastructure.m4v,conf.splunk.com/session/2013/Deploying_Splunk_YepBlake_BestPracticesDeployingSplunkonPhysicalVirtualandCloudInfrastructure.pdf
2013,CxO Panel: Addressing Big Data Challenges and Opportunities,"Eddie Satterly, Chief Big Data Evangelist, Office of the CTO, Splunk","Until now, big data has been mostly driven by web and social data. The next phase leverages the Internet of Things and industrial data to enable broader and more compelling use cases. In this panel, CxOs at big data innovators will share ideas and best practices that you can reference for your organization. ",Splunk Enterprise,Big Data,Financial Services,,,Breakout Session,Beginner,Big Data,,,
2013,Architecting and Administering Splunk Enterprise,"Mustafa Ahmed, Sr. Product Manager, Splunk; Patrick Ogdin, Product Manager, Splunk","This session will cover architecting, administering, and deployment considerations for the latest release of Splunk Enterprise.","Splunk Enterprise, Hunk",All,Telecommunications,,,Breakout Session,Good for all skill levels,What's New,,conf.splunk.com/session/2013/WN61601_WhatsNew_Splunk_MustafaAhamed-PatrickOgdin_ArchitectingAndAdministratingSplunk.m4v,conf.splunk.com/session/2013/WhatsNew_Splunk_MustafaAhamed-PatrickOgdin_ArchitectingAndAdministratingSplunk.pdf
2013,Bridging the Gap Between Machine Data and Online Data: Cassandra and Splunk,"Matt Pfeil, VP of Customer Solutions and Co-founder, Datastax; Eddie Satterly, Chief Big Data Evangelist, Office of the CTO, Splunk","Apache Cassandra is the NoSQL database built for high availability in a Big Data environment. It powers many online environments such as Netflix, eBay, and Adobe. While Cassandra is great for online purposes, it's useful to take a holistic view of all data in a company's ecosystem with an operational perspective. Splunk's integration with Cassandra makes this a reality. This talk will showcase a customer success story with both technologies utilizing Cassandra's online data with Splunk's machine data.","Splunk Enterprise, Hunk",Big Data,Technology,,,Breakout Session,Good for all skill levels,Big Data,,conf.splunk.com/session/2013/BigData_DataStax_MattPfeil_BridgingTheGapBetweenMachineDataAndOnlineDataCassandraAndSplunk.m4v,
2013,Splunk Apps for Monitoring Microsoft-based Infrastructure: Now and What's Coming,"Sharad Kylasam, Product Manager, Splunk; Mike Papale, Sr. Software Development Engineer, Splunk",Splunk makes managing large scale Microsoft infrastructures much easier. Join this session to learn about how Splunk apps help do this today and new feature enhancements that will take it to the next level.,Splunk Enterprise,Infrastructure Operations,,,,Breakout Session,Beginner,IT Operations,,conf.splunk.com/session/2013/IO70001_ITOpsAppMgmt_Splunk_SharadKylasam_SplunkAppsforMonitoringMicrosoftBasedInfrastructureNowandWhatsComing.m4v,conf.splunk.com/session/2013/ITOpsAppMgmt_Splunk_SharadKylasam_SplunkAppsforMonitoringMicrosoftBasedInfrastructureNowandWhatsComing.pdf
2013,Search Language - Beginner,"Mitch Fleischman, Senior Instructor, Splunk","Did you know you can do crazy useful things with Splunk's search language? Sort, use fields, apply wildcards _ but even better, it allows you to drilldown into the results using Splunk's Search interface timeline. This session will show some concrete examples of how to use Splunk software with web access and other types of commonly used data so you can craft simple but powerful searches based on what's interesting in your data. Learn the basics of the Splunk search language in this beginner class, then move on to the Intermediate and Advanced classes to become a real pro.",Splunk Enterprise,All,,,,Breakout Session,Beginner,Using Splunk,,conf.splunk.com/session/2013/US68901_Using_Splunk_MitchFleischmann_SearchLanguageBeginner.m4v,conf.splunk.com/session/2013/Using_Splunk_MitchFleischmann_SearchLanguageBeginner.pdf
2013,Your Analytical Platform for Big Data,"Brett Sheppard, Director, Product Marketing for Big Data, Splunk","Learn how enterprises and public-sector organizations are turning raw and poly-structured data from diverse sources into actionable insight in this introduction to the big data track. See examples of how companies are managing big data initiatives and overcoming challenges with emerging technologies. Understand your architectural choices with Splunk Enterprise, Splunk Apps, Hunk: Splunk Analytics for Hadoop Beta, and integration with partner offerings. ",Splunk Enterprise,Big Data,Higher Education,,,Breakout Session,Beginner,Big Data,,conf.splunk.com/session/2013/BD73601_BigData_Splunk_BrettSheppard_YourAnalyticalPlatformforBigData.m4v,conf.splunk.com/session/2013/BigData_Splunk_BrettSheppard_YourAnalyticalPlatformforBigData.pdf
2013,Detecting Security Anomalies with Machine Learning Analytics,"Craig Merchant, Senior Security Architect, Responsys; Rich Collier, Senior Solutions Engineer, Prelert","Responsys, a cutting edge provider of cloud based digital marketing services, relies on Splunk to secure its IT environment. Craig Merchant, Responsys's Senior Security Architect has pushed the limits of Splunk to detect know security issues in real-time. Craig will discuss his Splunk security paradigm and how it has been extended with the addition of Prelert's Anomaly Detective _ a highly integrated application that complements Splunk with advanced, machine learning predictive analytics. The combination of Splunk and Anomaly Detective have allowed Craig to 
1. Go beyond monitoring for known security issues and detect new, unknown threats in real-time; 
2. Mitigate the need for static thresholds that quickly become obsolete in today's security environments by leveraging Prelert's ability to continuously learn changes in normal behavior patterns; 
3. More easily implement a robust, real-time, proactive security monitoring system without the need define thresholds and normal behavior patterns. 
In this talk, Craig we will be providing specific examples of improvements he has made to his security tools set through the combination of Splunk and Prelert's Anomaly Detective. Following Craig's presentation, Rich Collier, Sr. Solutions Engineer at Prelert, will provide a brief overview of Prelert's tightly integrated machine learning analytics application for Splunk - Anomaly Detective.",Splunk Enterprise,Security / Compliance / Fraud,,,,Breakout Session,Good for all skill levels,"Security, Compliance and Fraud",,conf.splunk.com/session/2013/SY64001_Security_PrelertandResponsys_DetectingSecurityAnomalieswithMachineLearningAnalytics.m4v,conf.splunk.com/session/2013/Security_Prelert_and_Responsys_Detecting Security Anomalies with Machine Learning Analytics.pdf
2013,Analytics with Splunk Enterprise - Part 1,"Divanny Lamas, Product Manager, Splunk; Simon Fishel, Software Engineer, Splunk",Expand the usage of Splunk within your company with Splunk Enterprise Analytic features. Learn how to interact with your data in new ways and empower a new class of non-technical users.,Splunk for Windows Infrastructure,All,,,,Breakout Session,Good for all skill levels,What's New,,conf.splunk.com/session/2013/WhatsNew_Splunk_DivannyLamas-SimonFishel_AnalyticsWithSplunkEnterprisePart1.m4v,conf.splunk.com/session/2013/WhatsNew_Splunk_DivannyLamas-SimonFishel_AnalyticsWithSplunkEnterprisePart1.pdf
2013,Security Keynote - Building a Security Program to Withstand Today's High Stakes Threat Landscape,,"What are your most valuable assets and processes? Do you know which processes are truly critical to your organization's success and are you prioritizing your security operations, investigations and workflows in alignment with your organization's mission? If certain assets were compromised, what affect would that have on the success of your organization's mission or profitability? In this session, Prescott Winter, Managing Director for the Chertoff Group and Former CIO and CTO of the NSA outlines considerations for building an effective security program, successes and failures he's seen in the real world, and strategies to ensure your most valuable assets are protected.",Splunk Enterprise,,Technology,,,Breakout Session,Good for all skill levels,"Security, Compliance and Fraud",,conf.splunk.com/session/2013/Security_NSA_Chertoff_BuildingASecurityProgramToWithstandTodaysHighStakesThreatLandscape.m4v,
2013,How ADP turns Big Data from Applications into Real-time Insights,"Jigesh Saheba, Chief Architect, ADP Innovation Labs\r, ADP","Machine data contains a critical record of activity, from customer transactions to device usage. In this session, Automatic Data Processing (ADP), one of the world's leading human resources and payroll outsourcing solutions, describes how it uses big data to drive superior customer experience and a 360 degree view of mobile services.",Splunk Enterprise,Operational Intelligence,,,,Breakout Session,Advanced,Application Management,,conf.splunk.com/session/2013/AM65401_ITOpsAppMgmt_ADP_JigeshSaheba_HowADPTurnsBigDataFromAppIntoRealtimeInsights.m4v,conf.splunk.com/session/2013/ITOpsAppMgmt_ADP_JigeshSaheba_HowADPTurnsBigDataFromAppIntoRealtimeInsights.pdf
2013,Splunk Enterprise in the Cloud Vision and Roadmap,"Alex Munk, Senior Product Manager, Splunk; Ledio Ago, Director of Engineering, Splunk",This session will cover both Splunk Storm and running Splunk Enterprise in the cloud. There will be demos as well as a roadmap of what's coming next.,Splunk Enterprise,Cloud,Education,,,Breakout Session,Beginner,Cloud,,conf.splunk.com/session/2013/Cloud_Splunk_AlexMunk-LedioAgo_SplunkEnterpriseIntheCloudVisionAndRoadmap.m4v,conf.splunk.com/session/2013/Cloud_Splunk_AlexMunk-LedioAgo_SplunkEnterpriseIntheCloudVisionAndRoadmap.pdf
2013,Best Practices + New Feature Overview for the Latest Version of Splunk Deployment Server ,"Genti Zaimi, Manager, Professional Services, Splunk","This session will showcase the latest version of Splunk Deployment Server. Best practices, new features, new UI--deployment server is your friend, so don't miss this session!",Splunk Enterprise,All,,,,Breakout Session,Beginner,Deploying Splunk,,conf.splunk.com/session/2013/Deploying_Splunk_GentiZaimi_BestPracticesAndNewFeatureOverviewForTheLatestVersionOfSplunkDeploymentServer.m4v,conf.splunk.com/session/2013/Deploying_Splunk_GentiZaimi_BestPracticesAndNewFeatureOverviewForTheLatestVersionOfSplunkDeploymentServer.pdf
2013,Your Next Big UX Canvas is Here,"Gary Burgett, Deployment Architect, CQ Cloud; Peter Chang, CTO, N3N","The Perseus (Powered by INNOWATCH) creates an intuitive user experience that lets you navigate and manipulate all your big data from a very large zooming canvas. This state of the art application brings various visualization capabilities to your big data. So Splunk users will be able to combine and correlate their search results seamlessly together with any type of contents such as images, maps, SCADA, remote desktops and even live streaming videos (ex. CCTV) using our next generation UX technology. The key component to this application is its unique Pixel On Demand technology powered by INNOWATCH. Most of all, Perseus is tightly integrated with the Splunk's Saved Search, Views and Dashboards. Our live demo will present two real use cases from a global manufacturing company: 
1) Production Quality Monitoring and 
2) Cyber Security combined with Physical Security.",Splunk Enterprise,,"Financial Services, Business Services",,,Breakout Session,Good for all skill levels,Big Data,,conf.splunk.com/session/2013/BD92301_BigData_CQCloud_GaryBurgett_YourNextBigUXCanvasIsHere.m4v,conf.splunk.com/session/2013/BigData_CQCloud_GaryBurgett_YourNextBigUXCanvasIsHere.pdf
2013,"Developing Highly Instrumented, Splunk-friendly Applications with Minimal Effort","Tim Hobson, Software Developer, Intuit","Is your application code mixed up with your logging and instrumentation? This session will show how leveraging patterns, frameworks and logging libraries can detangle your app code from your logging. See how this creates opportunities to leverage Splunk software for diagnostics, testing, performance tuning, activity correlation, alerting, and more. This session will focus on .Net and Java web development platforms to illustrate these concepts",Splunk Enterprise,Developing,,,,Breakout Session,Beginner,Developer,,conf.splunk.com/session/2013/DG64101_Developing_Intuit_TimHobson_DevelopingHighlyInstrumentedSplunkFriendlyApps.m4v,conf.splunk.com/session/2013/Developing_Intuit_TimHobson_DevelopingHighlyInstrumentedSplunkFriendlyApps.pdf
2013,Hardening Splunk,"Alex Eisen, Chief Security Re:Searcher Monk-key, Splunk","Learn from our Product Security team how to securely deploy and protect your own Splunk instances, following our recommended Hardening Guidelines. Get familiar with the rest of our ProdSec process - Vulnerability Disclosure Management (including CVEs) and internal pen testing methodology performed as part of our Security Software Development Lifecycle to statically and dynamically analyze Splunk code and bits for security bugs before we ship.",Splunk Enterprise Security,All,,,,Breakout Session,Beginner,Deploying Splunk,,conf.splunk.com/session/2013/DS65001_Deploying_Splunk_AlexEisen_HardeningSplunk.m4v,conf.splunk.com/session/2013/Deploying_Splunk_AlexEisen_HardeningSplunk.pdf
2013,"Delivering Large Scale Deployments by Thinking Small: A ""How-to"" by Yahoo!","Paul Lambert, Global Media Service Engineering Architect, Yahoo!",Learn how Yahoo! is deploying Splunk Enterprise at multi-terabyte scale to better monitor and manage various website properties. This session will cover how they started small in order to go big with a successful deployment.,Splunk Enterprise,All,"Technology, Telecommunications, Cloud",,,Breakout Session,Good for all skill levels,Deploying Splunk,,conf.splunk.com/session/2013/DS63601_Deploying_Yahoo_PaulLambert_DeliveringLargeScaleDeploymentsByThinkingSmallAHowToByYahoo.m4v,conf.splunk.com/session/2013/Deploying_Yahoo_PaulLambert_DeliveringLargeScaleDeploymentsByThinkingSmallAHowToByYahoo.pdf
2013,Extraordinary Insights from Correlating VMware Data with Other Infrastructure Layers - A Real Life Case Study,"Mike Jones, HPC Systems Administrator (Virtualization / Windows), Major Oil and Gas Company; Eric Mechler, Senior Product Marketing Manager, Splunk","See a case study in how cross-operational data problems can be solved in a tech-ambiguous fashion in a major Oil and Gas company.You will see examples of using Splunk from every day log monitoring to forecasting, and silo crossing searches to get true operational conditions. ",Splunk Enterprise,Infrastructure Operations,,,,Breakout Session,Beginner,IT Operations,,conf.splunk.com/session/2013/IO64402_ITOpsAppMgmt_MajorEnergyCo_MikeJones_ExtraordinaryInsightsFromCorrelatingVMwareDatawithOtherInfrastructureLayers.m4v,conf.splunk.com/session/2013/ITOpsAppMgmt_MajorEnergyCo_MikeJones_ExtraordinaryInsightsFromCorrelatingVMwareDatawithOtherInfrastructureLayers.pdf
2013,Improved Cluster Management and Revised Deployment Considerations ,"Mustafa Ahamed, Sr. Product Manager, Splunk; Rama Gopalan, SR. Windows Software Engineer, Splunk",Come and learn about the management solutions that give accurate information about the health of the clusters. We will also discuss practical deployment best practices to scale your environment to multi-TBs scale.,Splunk Enterprise,All,"Online Services, Travel & Entertainment",,,Breakout Session,Good for all skill levels,What's New,,conf.splunk.com/session/2013/WN67002_WhatsNew_Splunk_MustafaAhamed-RamaGopalan_improvedClusterManagingAndRevisedDeploymentConsiderations.m4v,conf.splunk.com/session/2013/WhatsNew_Splunk_MustafaAhamed-RamaGopalan_improvedClusterManagingAndRevisedDeploymentConsiderations.pdf
